# Inbreeding coefficients
# Orig ID	Renum ID	f_x
1	1	0.0
2	2	0.0
3	3	0.0
4	4	0.0
5	5	0.125
6	6	0.125
================================================================================
Inbreeding Statistics
All animals:
--------------------------------------------------------------------------------
	Count:	6
	Mean:	0.0416666666667
	Min:	0.0
	Max:	0.125
Animals with non-zero CoI:
--------------------------------------------------------------------------------
	Count:	2
	Mean:	0.125
	Min:	0.125
	Max:	0.125
