# Inbreeding coefficients
# Orig ID	Renum ID	f_x
72	0	0.0
222	1	0.0
157	2	0.0
89	3	0.0
116	4	0.0
195	5	0.0
114	6	0.0
78	7	0.0
76	8	0.0
80	9	0.0
194	10	0.0
121	11	0.0
115	12	0.0
113	13	0.0
88	14	0.0
79	15	0.0
77	16	0.0
193	17	0.0
191	18	0.0
156	19	-0.5
62	20	-0.5
59	21	-0.5
58	22	-0.5
56	23	-0.5
55	24	-0.375
51	25	-0.5
65	26	-0.5
66	27	-0.375
67	28	-0.15625
64	29	-0.375
63	30	-0.375
57	31	-0.375
52	32	-0.375
49	33	-0.3125
60	34	-0.375
53	35	-0.28125
61	36	-0.40625
54	37	-0.4296875
50	38	-0.421875
48	39	-0.5
74	40	-0.5
75	41	-0.5
73	42	-0.375
68	43	-0.375
70	44	-0.28125
69	45	-0.28125
71	46	-0.28125
72	47	0.0
================================================================================
Inbreeding Statistics
All animals:
--------------------------------------------------------------------------------
	Count:	48
	Mean:	-0.23388671875
	Min:	-0.5
	Max:	0.0
Animals with non-zero CoI:
--------------------------------------------------------------------------------
	Count:	0
	Mean:	0.0
	Min:	0.0
	Max:	0.0
