a,s,d
2,0,4
3,0,4
4,2677,0
5,9567,896
6,10063,2856
7,10057,0
8,6988,1443
9,0,0
10,454,1956
11,0,0
12,0,0
13,0,0
14,1149,9072
15,1203,16393
16,0,0
17,7827,282
18,454,4531
19,463,4531
20,0,6371
21,454,4568
22,0,6371
23,0,6371
24,6374,27
25,454,4568
26,0,0
27,0,6371
28,12927,6371
29,454,26
30,0,0
31,1930,28
32,8306,10304
33,8498,3859
34,10063,865
35,839,837
36,839,837
37,839,837
38,850,39
39,7485,837
40,839,837
41,0,0
42,10063,2856
43,6082,9169
44,5390,1316
45,2688,123
46,2688,123
47,10550,16523
48,4382,4381
49,2621,3733
50,2621,3733
51,8316,5925
52,1667,315
53,8831,9862
54,0,0
55,1731,4824
56,1731,4824
57,3977,0
58,0,0
59,3557,61
60,2650,61
61,10251,0
62,8008,13150
63,9567,5728
64,0,6933
65,5,64
66,13322,13323
67,0,0
68,6312,7983
69,9428,0
70,0,4318
71,0,0
72,0,0
73,2791,3817
74,8827,0
75,8972,379
76,8972,0
77,8827,0
78,903,2449
79,0,0
80,8915,85
81,8915,85
82,8915,85
83,8915,85
84,2247,4040
85,7100,86
86,2247,4040
87,7100,86
88,2119,0
89,7378,0
90,7378,0
91,7378,0
92,8980,85
93,8980,85
94,6754,4877
95,0,0
96,1757,6602
97,9349,6738
98,2749,7899
99,6904,4621
100,103,62
101,6117,6361
102,0,0
103,3236,6321
104,1743,16222
105,1075,258
106,16008,0
107,8827,9853
108,0,0
109,9106,1911
110,5,2819
111,0,0
112,6904,5620
113,0,0
114,0,0
115,0,5558
116,0,0
117,0,11832
118,6802,117
119,0,0
120,9404,9391
121,3764,2540
122,0,0
123,11811,12987
124,5,131
125,9686,9145
126,0,0
127,11049,4185
128,0,0
129,5223,0
130,0,0
131,1080,13191
132,10398,10399
133,8316,5931
134,0,1493
135,0,0
136,10415,10399
137,0,8174
138,6946,8174
139,8915,8864
140,1075,3917
141,1098,2947
142,2251,2998
143,967,2998
144,1098,2947
145,6261,1270
146,9335,4315
147,9168,8235
148,9493,8999
149,0,13138
150,0,11781
151,0,0
152,0,0
153,10517,13048
154,0,0
155,5671,6137
156,0,0
157,8802,1487
158,6127,15779
159,2896,8255
160,1667,315
161,592,10069
162,161,160
163,6153,162
164,161,160
165,1757,160
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,1789,9159
172,6920,0
173,6082,172
174,0,0
175,2722,12555
177,7460,4201
178,10063,0
179,4679,177
180,4679,177
181,400,4201
182,400,177
183,10063,0
184,7460,4201
185,10070,4216
186,10070,4216
187,10070,4216
188,10070,4216
189,10063,0
190,0,12871
191,0,12871
192,5230,8820
193,3571,0
194,8498,6225
195,2482,4956
196,9922,0
197,10415,4082
198,9878,0
199,9589,10260
200,201,205
201,9589,10260
202,1689,10260
203,1689,10260
204,203,9622
205,1689,10260
206,9589,10260
207,1689,10260
208,0,0
209,0,3353
210,11587,12617
211,0,0
212,9444,0
213,10287,7116
214,2621,2627
215,11668,12460
216,0,0
217,2691,2213
218,0,0
219,9282,2055
220,669,0
221,0,0
222,10415,10599
223,0,0
224,10322,16304
225,9962,0
226,0,0
227,0,3103
228,5617,2523
229,9981,1405
230,7598,229
231,9981,1405
232,10872,231
233,7598,229
234,5034,232
235,7598,229
236,0,0
237,0,0
238,0,0
239,0,0
240,10567,2380
241,4895,16508
242,9508,1501
243,2695,9347
244,1075,5271
245,1646,2792
246,7598,7045
247,7598,7045
248,7594,252
249,2397,332
250,0,0
251,0,0
252,0,13144
253,7594,252
254,1806,9475
255,1806,9475
256,10357,10431
257,8595,10143
258,12325,10583
259,10517,12427
260,10517,12427
261,0,11683
262,1667,315
263,2247,846
264,1843,5526
265,7521,4995
266,0,0
267,0,0
268,1757,3164
269,1757,3164
270,1757,3164
271,1757,3164
272,8944,3164
273,8295,6184
274,5,7055
275,10517,12245
276,0,5081
277,5,1804
278,279,7055
279,5,3817
280,279,6719
281,279,3110
282,5,3674
283,5,3817
284,5,10367
285,5,7055
286,0,3817
287,5,10086
288,10214,2523
289,5,7055
290,5,3674
291,5,3817
292,0,0
293,0,6865
294,0,6865
295,0,0
296,0,9563
297,0,9563
298,0,6865
299,0,9563
300,0,0
301,8390,9563
302,8934,3154
303,8742,6680
304,8295,9677
305,0,3185
306,5,5279
307,1206,0
308,9452,10086
309,826,878
310,1667,313
311,262,313
312,1667,313
313,11808,4119
314,1667,315
315,592,4453
316,8972,317
317,1689,314
318,262,313
319,262,313
320,0,0
321,1667,313
322,2036,5544
323,9752,1331
324,0,0
325,0,5839
326,0,0
327,4819,9877
328,1254,330
329,1254,330
330,10327,1086
331,4828,0
332,10416,7175
333,16062,11863
334,0,0
335,9533,9517
336,1146,6768
337,400,1602
338,10362,1602
339,7575,341
340,10362,1602
341,400,1602
342,400,1602
343,10550,10028
344,3216,10221
345,3216,347
346,3216,1331
347,3216,1331
348,3216,1331
349,9752,1331
350,941,1331
351,3216,2241
352,941,1331
353,0,0
354,951,0
355,951,0
356,951,0
357,951,0
358,951,0
359,355,9801
360,3216,2241
361,355,9801
362,839,1256
363,6754,291
364,1394,10184
365,8386,0
366,1146,274
367,0,0
368,0,1132
369,0,0
370,5138,9787
371,1146,98
372,0,0
373,0,0
374,0,0
375,9415,1942
376,9763,4736
377,0,0
378,3573,1398
379,7480,381
380,930,2757
381,10612,2757
382,7480,381
383,930,0
384,930,0
385,930,0
386,8972,381
387,10070,4242
388,84,396
389,3284,396
390,84,396
391,8957,389
392,3284,396
393,5671,4710
394,3339,399
395,6138,397
396,3339,399
397,400,4904
398,10362,397
399,10070,4242
400,10070,4242
401,400,10353
402,0,0
403,2482,399
404,10070,4242
405,0,0
406,2482,399
407,10362,399
408,400,10353
409,0,0
410,6904,5019
411,8138,5277
412,0,0
413,0,0
414,0,0
415,0,0
